D-loss	G-loss	AUC	AP
1.329874	0.703307	0.326764	0.000781
1.342047	0.703791	0.351095	0.000813
1.347912	0.702934	0.298761	0.000744
1.340565	0.702841	0.042955	0.000552
1.344675	0.702910	0.008494	0.000533
1.357566	0.702012	0.223977	0.000673
1.372878	0.703374	0.098430	0.000584
1.325241	0.701770	0.015881	0.000535
1.336507	0.703197	0.205353	0.000658
1.342913	0.701599	0.116434	0.000588
1.317284	0.700784	0.045145	0.000545
1.361750	0.701188	0.208759	0.000659
1.332407	0.701515	0.207100	0.000660
1.318330	0.700250	0.358571	0.000819
1.296957	0.699897	0.420792	0.000914
1.304242	0.699764	0.067750	0.000560
1.298957	0.700992	0.050011	0.000552
1.322375	0.699540	0.011325	0.000533
1.339939	0.699786	0.021455	0.000537
1.362733	0.700113	0.057377	0.000556
1.322982	0.699172	0.218912	0.000669
1.310253	0.698805	0.125503	0.000598
1.296440	0.699345	0.006127	0.000532
1.316033	0.699036	0.009710	0.000534
1.348062	0.698923	0.043110	0.000551
1.338319	0.699004	0.012453	0.000533
1.315238	0.699876	0.180867	0.000635
1.353830	0.698554	0.018425	0.000539
1.302927	0.698161	0.352046	0.000817
1.317210	0.697934	0.209821	0.000660
1.323089	0.698112	0.496129	0.001159
1.337739	0.698144	0.458682	0.001018
1.326425	0.697515	0.156337	0.000617
1.298118	0.698310	0.204048	0.000655
1.328527	0.697942	0.014289	0.000535
1.327398	0.699041	0.602787	0.001992
1.368118	0.704193	0.232603	0.000686
1.268513	0.701819	0.651781	0.002449
1.318832	0.697961	0.022119	0.000538
1.320249	0.701376	0.489560	0.001109
1.388648	0.702804	0.418691	0.000947
1.338715	0.994179	0.024601	0.000463
1.373279	0.904474	0.018644	0.000504
1.360680	0.858464	0.015686	0.000461
1.346491	0.817693	0.013582	0.000461
1.327244	0.791344	0.011478	0.000460
1.326031	0.772878	0.013561	0.000462
1.339118	0.759136	0.017248	0.000505
1.335431	0.749104	0.019039	0.000506
1.346581	0.741580	0.020393	0.000464
1.347332	0.737086	0.028351	0.000468
1.329927	0.731758	0.033892	0.000470
1.368957	0.727617	0.036891	0.000471
1.347054	0.723632	0.027767	0.000467
